cosecha,maduracion,saldo,provision,pdponderado,rango_pd,Enalta_Privada,Bex,A,B,C,ConsumoOtros,Pyme,NoBanco,Gremio,Otros,Missing
202201,15,230053100.890000,2635834.6926,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,1,567397264.550000,-901195.4835,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,8,345195930.830000,2382802.3586,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,7,369064715.570000,3127176.9384,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,20,173456406.930000,1396365.1002,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,23,145889401.070000,1039311.1938,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,22,154763843.600000,1569391.4560,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,25,127979327.110000,823917.4098,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,17,205924745.530000,2029735.0203,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,31,86899285.740000,388179.4695,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,24,136302678.130000,1382121.4212,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,21,163148859.680000,1475349.4525,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
202201,42,36608979.380000,22848.3044,0.043268,4. Medio I,0.000104,0.005888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000405,0.000000,0.000000,0.992145
