COSECHA,codmes,producto_f,FLG,SUBP,MADURACION,SALDO
2020,202309,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202309,9.PNR Capital de trabajo,1,2,0,3.084260669999998E7
2020,202310,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202310,9.PNR Capital de trabajo,0,1,0,1402858.050000001
2020,202310,9.PNR Capital de trabajo,1,5,0,9.806211539200001E8
2020,202310,9.PNR Capital de trabajo,0,5,0,4.39021012657E9
2020,202310,9.PNR Capital de trabajo,0,2,0,1.2623554656999987E8
2020,202310,9.PNR Capital de trabajo,1,2,0,2.982984930000002E7
2020,202311,9.PNR Capital de trabajo,0,5,0,3.942684725690002E9
2020,202311,9.PNR Capital de trabajo,1,2,0,2.2190557509999987E7
2020,202311,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202311,9.PNR Capital de trabajo,0,2,0,1.2998820523000003E8
2020,202311,9.PNR Capital de trabajo,1,5,0,8.339266065300004E8
2020,202311,9.PNR Capital de trabajo,0,1,0,1349199.300000001
2020,202312,9.PNR Capital de trabajo,1,2,0,2.0234067439999998E7
2020,202312,9.PNR Capital de trabajo,1,5,0,7.766547462900007E8
2020,202312,9.PNR Capital de trabajo,0,2,0,1.1082878920000008E8
2020,202312,9.PNR Capital de trabajo,0,1,0,1292282.28
2020,202312,9.PNR Capital de trabajo,0,5,0,3.6132031669100037E9
2020,202312,9.PNR Capital de trabajo,1,1,0,25263.05999999999
2020,202401,9.PNR Capital de trabajo,0,1,0,0.0
2020,202401,9.PNR Capital de trabajo,1,1,0,898873.5600000003
2020,202401,9.PNR Capital de trabajo,1,5,0,7.052159949200001E8
2020,202401,9.PNR Capital de trabajo,1,2,0,2.5128420709999993E7
2020,202401,9.PNR Capital de trabajo,0,5,0,3.290634397959999E9
2020,202401,9.PNR Capital de trabajo,0,2,0,9.202217734999996E7
2020,202402,9.PNR Capital de trabajo,0,5,0,2.9050563017500005E9
2020,202402,9.PNR Capital de trabajo,0,2,0,8.518733917999999E7
2020,202402,9.PNR Capital de trabajo,1,5,0,5.557856811199999E8
2020,202402,9.PNR Capital de trabajo,1,1,0,831626.3300000003
2020,202402,9.PNR Capital de trabajo,0,1,0,0.0
2020,202402,9.PNR Capital de trabajo,1,2,0,2.5806142509999987E7
2020,202403,9.PNR Capital de trabajo,0,2,0,8.066951104999994E7
2020,202403,9.PNR Capital de trabajo,1,2,0,1.6918159639999982E7
2020,202403,9.PNR Capital de trabajo,0,1,0,1111935.1700000002
2020,202403,9.PNR Capital de trabajo,1,5,0,5.432758705900003E8
2020,202403,9.PNR Capital de trabajo,0,5,0,2.4519846984399996E9
2020,202404,9.PNR Capital de trabajo,1,2,0,1.5628124159999993E7
2020,202404,9.PNR Capital de trabajo,0,5,0,2.2315066478100014E9
2020,202404,9.PNR Capital de trabajo,0,2,0,7.671729267999996E7
2020,202404,9.PNR Capital de trabajo,1,1,0,741635.8500000003
2020,202404,9.PNR Capital de trabajo,1,5,0,4.838870220900002E8
2020,202404,9.PNR Capital de trabajo,0,1,0,0.0
2020,202405,9.PNR Capital de trabajo,0,2,0,7.368655914999998E7
2020,202405,9.PNR Capital de trabajo,1,1,0,694514.6200000005
2020,202405,9.PNR Capital de trabajo,0,1,0,0.0
2020,202405,9.PNR Capital de trabajo,0,5,0,1.9436014063499987E9
2020,202405,9.PNR Capital de trabajo,1,2,0,1.4968160689999996E7
2020,202405,9.PNR Capital de trabajo,1,5,0,4.4428407577000046E8
2020,202406,9.PNR Capital de trabajo,0,5,0,1.8169383101399992E9
2020,202406,9.PNR Capital de trabajo,1,2,0,1.4425811870000007E7
2020,202406,9.PNR Capital de trabajo,0,1,0,914402.0899999997
2020,202406,9.PNR Capital de trabajo,0,2,0,7.467360299000001E7
2020,202406,9.PNR Capital de trabajo,1,5,0,5.3005507988000023E8
2020,202407,9.PNR Capital de trabajo,0,1,0,843505.3000000005
2020,202407,9.PNR Capital de trabajo,1,2,0,1.0787838409999993E7
2020,202407,9.PNR Capital de trabajo,0,5,0,1.4469087837400007E9
2020,202407,9.PNR Capital de trabajo,0,2,0,6.648972828999996E7
2020,202407,9.PNR Capital de trabajo,1,5,0,3.813356191599998E8
2020,202408,9.PNR Capital de trabajo,1,5,0,3.367747236499999E8
2020,202408,9.PNR Capital de trabajo,0,2,0,6.1582201720000006E7
2020,202408,9.PNR Capital de trabajo,0,5,0,1.2939699010900002E9
2020,202408,9.PNR Capital de trabajo,1,2,0,8732680.610000001
2020,202408,9.PNR Capital de trabajo,0,1,0,771434.2699999993
2020,202409,9.PNR Capital de trabajo,0,5,0,1.1941851957900014E9
2020,202409,9.PNR Capital de trabajo,1,2,0,8636429.829999998
2020,202409,9.PNR Capital de trabajo,1,5,0,2.5782673044000012E8
2020,202409,9.PNR Capital de trabajo,0,1,0,696875.3599999999
