COSECHA,codmes,MADURACION,SALDO
202202,202307,17,693735.1200000001
202202,202308,18,523781.6299999999
202202,202309,19,353975.47
202202,202310,20,388773.86
202202,202311,21,218780.9
202202,202312,22,275523.02
202202,202401,23,285005.15
202202,202402,24,117655.92
202202,202403,25,119645.96999999999
202202,202404,26,164374.03
202202,202405,27,81674.96
202202,202406,28,128702.28
202202,202407,29,127528.20000000001
202202,202408,30,4766.32
202202,202409,31,3855.22
202202,202410,32,0.0
202202,202411,33,0.0
202202,202412,34,0.0
202202,202501,35,0.0
202202,202502,36,0.0
202202,202503,37,45266.02
202202,202504,38,43618.76
202202,202505,39,41914.53
202203,202203,0,228900.0
202203,202204,1,118585.95
202203,202205,2,6569322.080000001
202203,202206,3,1.7920977839999996E7
202203,202207,4,2.126228612E7
202203,202208,5,1.868026543E7
202203,202209,6,1.659088755E7
202203,202210,7,1.401998334E7
202203,202211,8,1.1723772009999998E7
202203,202212,9,1.009451964E7
202203,202301,10,7553560.76
202203,202302,11,3761875.95
202203,202303,12,3492178.54
202203,202304,13,2937564.1599999997
202203,202305,14,1927525.62
202203,202306,15,1595789.6
202203,202307,16,1237496.02
202203,202308,17,618367.05
202203,202309,18,209461.15
202203,202310,19,80998.03
202203,202311,20,74487.36
202203,202312,21,39861.35
202203,202401,22,43993.36
202203,202402,23,45916.05
202203,202403,24,101405.09000000001
202203,202404,25,37953.15
202203,202405,26,23540.78
202203,202406,27,6229.32
202203,202407,28,7289.92
202203,202408,29,835.76
202203,202409,30,0.0
202203,202410,31,0.0
202203,202411,32,0.0
202203,202412,33,0.0
202203,202501,34,19709.66
202203,202502,35,0.0
202203,202503,36,0.0
202203,202504,37,0.0
202203,202505,38,0.0
202204,202204,0,100600.0
202204,202205,1,121761.94
202204,202206,2,3369377.4099999997
202204,202207,3,1.1240041540000001E7
202204,202208,4,1.540779118E7
202204,202209,5,1.405266863E7
202204,202210,6,1.0848651010000002E7
202204,202211,7,7952466.210000001
202204,202212,8,7896448.260000001
202204,202301,9,5470054.840000001
202204,202302,10,2570575.9799999995
202204,202303,11,2232458.5500000003
202204,202304,12,1496113.25
202204,202305,13,1416705.52
202204,202306,14,955243.98
202204,202307,15,646796.54
202204,202308,16,457871.91
202204,202309,17,278618.49000000005
202204,202310,18,34932.96
202204,202311,19,36353.64
202204,202312,20,33039.33
202204,202401,21,114940.56999999999
202204,202402,22,98554.95
202204,202403,23,94540.32
202204,202404,24,80611.66
202204,202405,25,78405.26
202204,202406,26,76202.45
202204,202407,27,73933.46
202204,202408,28,130096.41
202204,202409,29,62746.64
202204,202410,30,121527.8
202204,202411,31,0.0
202204,202412,32,62272.64
202204,202501,33,59847.75
202204,202502,34,18858.94
202204,202503,35,54823.01
202204,202504,36,0.0
202204,202505,37,0.0
202205,202205,0,233500.0
202205,202206,1,80140.06
202205,202207,2,4265338.31
202205,202208,3,1.3965064030000001E7
202205,202209,4,1.840091345E7
202205,202210,5,1.5507274979999999E7
202205,202211,6,1.1849858050000003E7
202205,202212,7,9811756.120000001
202205,202301,8,7228753.84
202205,202302,9,3467937.03
202205,202303,10,3504426.03
202205,202304,11,2919193.3499999996
202205,202305,12,1897307.3199999998
202205,202306,13,1770909.61
202205,202307,14,1017262.96
202205,202308,15,469153.5899999999
202205,202309,16,460765.21
202205,202310,17,340676.21
202205,202311,18,169175.12999999998
202205,202312,19,83007.12
202205,202401,20,83640.98
202205,202402,21,67037.97
202205,202403,22,31892.590000000004
202205,202404,23,87160.70000000001
202205,202405,24,88520.06999999999
202205,202406,25,81245.69
202205,202407,26,57241.41
202205,202408,27,30724.2
202205,202409,28,24803.559999999998
202205,202410,29,4106.75
202205,202411,30,2762.81
202205,202412,31,1397.16
202205,202501,32,0.0
202205,202502,33,0.0
202205,202503,34,0.0
202205,202504,35,0.0
202205,202505,36,0.0
202206,202206,0,8500.0
202206,202207,1,25053.08
202206,202208,2,9618703.97
202206,202209,3,2.5130765569999993E7
202206,202210,4,2.833199607E7
202206,202211,5,2.1044411709999997E7
202206,202212,6,1.830060396E7
202206,202301,7,1.275603771E7
202206,202302,8,7669863.93
202206,202303,9,6201908.77
202206,202304,10,5172397.49
202206,202305,11,2971610.16
202206,202306,12,2096397.9300000002
202206,202307,13,1652589.68
202206,202308,14,1374010.58
202206,202309,15,1120262.89
202206,202310,16,521665.8900000001
202206,202311,17,396141.2
202206,202312,18,462310.84
202206,202401,19,564331.86
202206,202402,20,406016.29999999993
202206,202403,21,124420.94
202206,202404,22,258353.77
202206,202405,23,175223.19
202206,202406,24,170740.94
202206,202407,25,204509.28999999998
202206,202408,26,191718.25
202206,202409,27,187331.34
202206,202410,28,119990.86
202206,202411,29,118173.64
202206,202412,30,104398.61
202206,202501,31,103720.04
202206,202502,32,169097.64
202206,202503,33,166830.16
202206,202504,34,163088.5
202206,202505,35,169313.51
202207,202207,0,452100.0
202207,202208,1,402888.19
202207,202209,2,9494324.250000002
202207,202210,3,2.0713029929999996E7
