CODMES_COSECHA,sum_mtodeuda,sum_mtogastoprovsol,CTDMESMADURACION,pdponderado
202406,242164761.420000,1632115.8038,9,0.029286
202504,411012817.340000,675419.7031,3,0.023864
202406,180437990.470000,982558.4520,13,0.029286
202406,383740194.230000,892368.0784,3,0.029286
202504,379287873.310000,931249.8286,4,0.023864
202406,281744014.790000,1820927.9748,7,0.029286
202406,168869354.870000,907653.6697,14,0.029286
202406,329055121.770000,1989143.4437,5,0.029286
202406,351713880.270000,1287986.5381,4,0.029286
202406,304055995.640000,1855581.0293,6,0.029286
202406,420186069.290000,193178.9479,2,0.029286
202406,208115641.660000,948835.3430,11,0.029286
202504,620376240.630000,6293847.0356,0,0.023864
202406,223619498.450000,1195625.3661,10,0.029286
202504,349603659.700000,1299466.0982,5,0.023864
202406,260901487.080000,999911.6251,8,0.029286
202406,551422639.090000,5534389.5214,0,0.029286
202504,452973849.510000,-134249.5730,2,0.023864
202406,470472428.640000,-677754.9550,1,0.029286
202406,156962272.330000,991764.5087,15,0.029286
202405,276030508.030000,954849.5923,9,0.029489
202405,295858562.350000,1747451.8852,8,0.029489
202405,223359868.880000,1135076.1584,12,0.029489
202405,208325965.830000,1289938.0637,13,0.029489
202405,540724270.980000,-655975.4224,1,0.029489
202405,256062940.810000,1345601.7625,10,0.029489
202405,319798558.460000,1697859.5981,7,0.029489
202405,239025170.520000,1215411.2661,11,0.029489
202405,440174537.920000,1037217.2135,3,0.029489
202405,370651421.990000,2050452.9531,5,0.029489
202405,182112411.400000,1201014.6650,15,0.029489
202405,404804452.620000,1176763.9718,4,0.029489
202405,345997236.920000,1579285.8617,6,0.029489
202405,481052882.180000,45254.1785,2,0.029489
202405,613027113.020000,6155523.8669,0,0.029489
202405,194444874.070000,787507.7757,14,0.029489
202405,170025046.370000,756108.3428,16,0.029489
202408,316654632.630000,792263.2995,6,0.024186
202408,579965695.710000,5878340.7550,0,0.024186
202408,291489991.160000,1401938.4683,7,0.024186
202408,490010064.420000,-828377.6135,1,0.024186
202408,250450059.290000,1224051.4728,9,0.024186
202408,368692756.230000,1243141.7414,4,0.024186
202408,399420117.020000,779259.1816,3,0.024186
202408,435310289.320000,-56864.9423,2,0.024186
202408,269879693.160000,1152700.3517,8,0.024186
202408,339985779.000000,1642749.4219,5,0.024186
202408,184970966.530000,565787.0590,13,0.024186
202408,215141414.760000,794506.9542,11,0.024186
202408,200190126.470000,1035508.6510,12,0.024186
202408,232784874.210000,1001845.1830,10,0.024186
202409,250260325.680000,1504984.4565,11,0.023737
202409,310228070.540000,1532850.6627,8,0.023737
