cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202203;202311;20;845516664.77;0.00;0.05;4. Medio I;0.11;88901004.20;0.12;0.04;0.05;0.05;40768546.38
202203;202312;21;845516664.77;0.00;0.05;4. Medio I;0.11;90779742.23;0.12;0.04;0.05;0.05;41484977.87
202203;202401;22;845516664.77;0.00;0.05;4. Medio I;0.11;93034735.17;0.12;0.05;0.05;0.05;42155959.63
202203;202402;23;845516664.77;0.00;0.05;4. Medio I;0.11;94109386.86;0.12;0.05;0.05;0.05;42786915.84
202203;202403;24;845516664.77;0.00;0.05;4. Medio I;0.11;96032091.75;0.12;0.05;0.05;0.05;43382354.11
202203;202404;25;845516664.77;0.00;0.05;4. Medio I;0.12;97455941.81;0.12;0.05;0.05;0.05;43946060.99
202203;202405;26;845516664.77;0.00;0.05;4. Medio I;0.12;99022684.19;0.12;0.06;0.05;0.05;44481248.03
202203;202406;27;845516664.77;0.00;0.05;4. Medio I;0.12;100542077.64;0.12;0.06;0.05;0.05;44990662.63
202203;202407;28;845516664.77;0.00;0.05;4. Medio I;0.12;101560079.71;0.12;0.06;0.05;0.05;45476673.36
202203;202408;29;845516664.77;0.00;0.05;4. Medio I;0.12;102332881.94;0.12;0.06;0.05;0.05;45941336.56
202203;202409;30;845516664.77;0.00;0.05;4. Medio I;0.12;102780160.25;0.12;0.07;0.05;0.05;45941336.56
202203;202410;31;845516664.77;0.00;0.05;4. Medio I;0.12;103393159.83;0.12;0.07;0.06;0.05;45941336.56
202203;202411;32;845516664.77;0.00;0.05;4. Medio I;0.12;103797316.80;0.12;0.07;0.06;0.05;45941336.56
202203;202412;33;845516664.77;0.00;0.05;4. Medio I;0.12;104014614.58;0.12;0.08;0.06;0.05;45941336.56
202203;202501;34;845516664.77;0.00;0.05;4. Medio I;0.12;104278415.78;0.12;0.08;0.06;0.05;45941336.56
