CODMES_COSECHA,sum_mtodeuda,sum_mtogastoprovsol,CTDMESMADURACION,pdponderado
202211,107824989.100000,982870.9955,28,
202211,308352653.810000,2781885.4930,12,
202211,115130805.660000,334129.0858,27,
202211,327865561.620000,4399645.4103,11,
202211,420925089.260000,6977767.7021,7,
202211,275765905.200000,2803259.5852,14,
202211,153219219.330000,994696.5993,23,
202211,79441474.720000,394726.8218,32,
202211,164173403.350000,680196.8926,22,
202208,443810112.590000,7076677.3113,5,
202208,501046250.720000,4208157.3454,3,
202208,242166580.840000,2155884.9930,15,
202208,83323616.020000,603977.8028,31,
202208,669774310.820000,6768857.8609,0,
202208,229310890.710000,2453391.1654,16,
202208,325477830.570000,4111255.0815,10,
202208,536678035.280000,1574651.1460,2,
202208,271484866.750000,2265453.0238,13,
202208,589735736.510000,-613099.5663,1,
202208,344538149.410000,4813912.1527,9,
202208,202546554.650000,1245461.7206,18,
202208,189587172.540000,2208412.6803,19,
202208,305799295.190000,3811261.2382,11,
202208,416248937.880000,4852455.9739,6,
202208,287571158.460000,3270270.4236,12,
202208,469653154.470000,4473231.5590,4,
202208,56555932.120000,70311.8042,36,
202208,367634735.370000,5495800.2577,8,
202208,117636354.490000,736783.8217,26,
202208,388634194.520000,5404890.1785,7,
202208,215314306.520000,2537191.3425,17,
202208,177500385.220000,1279599.1218,20,
202208,72213990.720000,238558.6239,33,
202208,89940561.930000,492006.0011,30,
202208,257106950.670000,3015124.9082,14,
202208,166537014.970000,1364095.9627,21,
202208,103447113.720000,504785.6529,28,
202208,134874267.160000,941585.4480,24,
202208,66763057.940000,107092.7495,34,
202208,157689476.210000,1356255.0432,22,
202208,125870473.200000,478462.4074,25,
202208,95784674.870000,407064.0812,29,
202208,61352715.150000,393570.2422,35,
202208,145265012.320000,743956.0202,23,
202208,110331635.510000,584388.8262,27,
202208,52726821.700000,292112.9495,37,
202208,77486314.290000,453781.4738,32,
202501,431095858.610000,1351820.0568,5,0.020711
202501,549341201.710000,-125101.3006,2,0.020711
202501,502829922.930000,731805.7603,3,0.020711
202501,626243282.590000,-915280.4648,1,0.020711
202501,723059932.750000,7270167.7804,0,0.020711
202501,346160344.160000,1060720.9949,8,0.020711
202501,401175542.580000,1229242.8548,6,0.020711
202501,466483219.750000,672187.4225,4,0.020711
202501,372622810.560000,1474041.5094,7,0.020711
202204,69680475.740000,257596.0671,34,
202204,237249205.450000,3003595.4211,16,
202204,540487800.840000,5027357.8947,3,
202204,81121406.000000,302010.1459,32,
202204,196602276.880000,2037708.2282,19,
202204,441975980.680000,6297845.6162,6,
202204,151902721.920000,1624421.6915,23,
